Model,Final RMSE,RMSE nAUC,Sample Avg. Rank,Delta RMSE
ICSOR,5.939,6.3338,4.2955,0.2194
XGBoost,6.1033,7.0056,4.2591,1.4393
LightGBM,5.2681,6.3545,2.1909,1.9861
CatBoost,6.2608,7.601,5.0091,0.688
AdaBoost,21.4189,20.2876,8.1864,0.2308
Random Forest,28.7812,30.31,8.1818,18.7071
SVR,5.8359,6.8958,3.9909,1.193
k-NN,23.7551,25.7719,6.9682,23.6581
PLS,27.9553,30.1733,9.3955,0.3824
MLP,4.6169,6.7524,2.5227,0.6493
