Model,COD,TN,TP,TSS
ICSOR,7.5146,3.5284,0.0811,8.493
XGBoost,8.6141,3.201,0.0811,8.0324
LightGBM,7.4544,2.7277,0.0811,6.9256
CatBoost,8.8007,3.1276,0.0811,8.3384
AdaBoost,38.4413,5.4026,0.0811,18.1134
Random Forest,45.2838,3.9084,0.0811,35.3201
SVR,8.4677,3.4488,0.0811,7.2521
k-NN,38.5307,4.1813,0.0811,27.4791
PLS,42.308,5.072,0.0811,36.1969
MLP,6.7973,1.5327,0.0811,6.0565
